,FAKULTA_SP,ROK_NAR,STAT_OBCANSTVI,PSC_BYDL,PSC_CIZI,OBEC_BYDLISTE,OBEC_CIZI,STAT_BYDLISTE,NAZEV_S_SKOLY,STAT_S_SKOLY,ADRESA_S_SKOLY,CIS_OBORU,MATURITA,STRED_SKOLA_CIZI,STRED_SKOLA_CIZI_MISTO,STRED_SKOLA_CIZI_OBOR,VS_SKOLA,NAZEV_VS,STAT_VS,VS_ROK_ABSOL,ROK_PR,CISP_KOD,CZ_NAZEV,FORMA,TYP,PR_NAZEV,PR_OBOR,PR_KOMBINACE,SDRUZENE,KOLO_PRIHLASKY,key,nazev,skupina_oboru,stupen_vzdelani,round
0,PRF,2000,Česká republika,0,,nevyplněno,,Česká republika,"SŠ pedagogická, hotelnictví a služeb",Česká republika,"Litoměřice, Komenského 754/3 , 41201",7531M01,2019,,,,,,,,2019,B1101,Matematika,P,B,MA AJ1,,MA AJ,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
1,PRF,2000,Česká republika,0,,nevyplněno,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2019,,,,UNIVERZITA KARLOVA V PRAZE,UNIVERZITA KARLOVA V PRAZE,Česká republika,,2019,B1501,Biologie,P,B,BI PS1,1501R001 - BI bc,,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
2,PRF,0,Česká republika,0,,nevyplněno,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2017,,,,,,,,2019,B1702,Aplikovaná fyzika,K,B,APMK2,1802R039 - K APM,,,2,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),2
3,PRF,0,Česká republika,0,,nevyplněno,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2020,,,,,,,,2020,B1101,Matematika,P,B,MA HV1,,MA HV,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
4,PRF,2000,Česká republika,0,,nevyplněno,,Česká republika,"SŠ pedagogická, hotelnictví a služeb",Česká republika,"Litoměřice, Komenského 754/3 , 41201",7531M01,2019,,,,,,,,2020,B1407,Chemie,K,B,CHE MAK2,,CHE-MA K,,2,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),2
5,PRF,0,Česká republika,0,,nevyplněno,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2020,,,,,,,,2020,B1501,Biologie,P,B,BI GEO1,,BI GEO,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
6,PRF,1999,Česká republika,0,,nevyplněno,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2018,,,,,,,,2020,B1501,Biologie,K,B,BI KS1,1501R001 - BI bc K,,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
7,PRF,2001,Česká republika,0,,nevyplněno,,Česká republika,SOŠ,Česká republika,,7531M01,2020,,,,,,,,2020,B1501,Biologie,P,B,BI PS1,1501R001 - BI bc,,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
8,PRF,2000,Česká republika,41901,,Duchcov,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2020,,,,,,,,2020,B1501,Biologie,P,B,BI PS1,1501R001 - BI bc,,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
9,PRF,2001,Česká republika,43004,,Chomutov,,Česká republika,"VOŠ ekon., soc. a zdrav., OA, SPgŠ a SZŠ",Česká republika,"Most, Zdeňka Fibicha 2778/20 , 43401",7531M01,2020,,,,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Univerzita Jana Evangelisty Purkyně v Ústí nad Labem,Česká republika,2021.0,2020,B1501,Biologie,P,B,BI PS1,1501R001 - BI bc,,,1,7531M01,Předškolní a mimoškolní pedagogika (7531M01),"Pedagogika, učitelství a sociální péče",Úplné střední odborné vzdělání s maturitou (bez vyučení),1
